"Animal","symptoms1","symptoms2","symptoms3","symptoms4","symptoms5","Dangerous","Gender","Age"
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",4
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",7
"pigs","Formation of vesicles","Nostrils","Abnormally long leg","Scabs on lip","Pains","Yes","Male",13
"pigs","Coughing ","panting","facial swelling,","Production of mucus","Fatigue","Yes","Female",8
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",6
"pigs","Fever","Lameness","Wasting","Blindness","Staggering","Yes","Female",8
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",17
"fowl","Eye redness","Frequent eye Infections","Crusty eye lashes and matting of eyelashes","foul smelling stools"," increased passing gas","Yes","Female",1
"fowl","Fever","Nasal discharge","Respiratory distress","Pox lesion","Pain","Yes","Female",1
"buffaloes","Fever","Severe headache","Vomiting","Coughing","Fatique","Yes","Male",1
"chicken","Enlarged Thymus","Obstructed Lungs","Lethargy","Skin rashes","Weight loss","Yes","Male",1
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",6
"buffaloes","Gas","Diarrhea","Abdominal discomfort","Vomiting","Nausea","Yes","Female",22
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",6
"horse","Fever","Depression","loss of appetite","Stumbling","Ataxia","Yes","Male",26
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",1
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",17
"donkey","difficulty swallowing","cough ","difficulty swallowing","gasping for air","extending its neck","Yes","Female",21
"duck","Fever","Diarrhea","Vomiting","Weight loss","Dehydration","Yes","Male",1
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",16
"pigs","Respiratory distress","Diarrhea","Death","Reduce milk ","Weight loss","Yes","Female",12
"buffaloes","Fever","Death","Coughing","Dyspnea","Anorexia","Yes","Female",1
"cow","loss in weight","emaciation","loss of appetite","Weakness","diarrhoea","Yes","Male",3
"chicken","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Female",7
"chicken","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",3
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",26
"sheep","Fever","Abortion","Vomiting","Weight loss","Anorexia","Yes","Female",3
"sheep","Swollen left abdomen","Lying Down","Staggering","Urination","Extension of neck","Yes","Female",4
"buffaloes","Stripped remiges","Less Feather growth","Ruffled feathers","Defienciency in vitamin","Diarrhea","Yes","Female",1
"sheep","Red skin","Loss of appetite","Moist","Lameness","Pains","Yes","Male",7
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",5
"cattle","Normal appetite","Diarrhea","Swelling may occur under jaw","Weight loss","Drop in milk production","Yes","Female",23
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",2
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",16
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",12
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",1
"donkey","cough ","gasping for air","Weight loss","gasping for breath","extending its neck","Yes","Female",4
"buffaloes","Fever","Inflammed eye","Sneezing","Depression","Limping","Yes","Female",23
"hamster","Small red bumps","Pneumonia ","Septic Arthritis","Skin infection","Pain","Yes","Female",1
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",18
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",4
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",5
"chicken","Fever","Diarrhea","Swollen Abdomen","Vomiting","Difficulty in Breathing","Yes","Male",8
"buffaloes","Diarrhea with muscus","Tensemus","Nose Bleeds","Flatulence","Pains","Yes","Female",10
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",22
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",22
"duck","Upset stomach","Diarrhea","Vomiting","Muscle pain","Muscle stiffness","Yes","Male",10
"pigs","Fever","Diarrhea","Muscus","Weight loss","Death","Yes","Female",3
"fowl","unable to urinate","Lightheadedness ","droopiness","rectal bleeding","swollen abdomen","Yes","Female",6
"buffaloes","Bony Lesion","Skin Rashes","Ataxia","Anorexia","Weakness","Yes","Male",2
"hamster","Fever","Ataxia","Aggressiveness","Depression","Obscure Lameness","Yes","Female",2
"hamster","Fever","Chills","Coughing","Progressive weakness","Joint Pain","Yes","Female",1
"buffaloes","Lesions in the nasal cavity","Lesions on nose","Vomiting","Noisy Breathing","Lesions on nose","Yes","Female",15
"hamster","Fever","Ulcer on gum","Red eye","Yellowish Discharge","Bloody Diarrhea","Yes","Female",1
"sheep","Excess salivation","Diarrhea","Depression","Nasal discharge","Weakness","Yes","Female",11
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",27
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",7
"goat","Fever","Lack of coordination","Depression","Salivation","Facial paralysis","Yes","Male",4
"sheep","Listless","Bottle jaw","Malpresentation","Death","Oxygen defiency","Yes","Female",5
"chicken","Ruffled Appearance","Loss of Appetite","Vomiting","Green Dropping","Nasal Discharge","Yes","Female",2
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",7
"pigs","Jaundice","Loss of appetite","Rough Hair coat","Coughing","Death","Yes","Female",9
"duck","Fever","Diarrhea","Abdominal pain","Stiffness","Severe weekness and depression","Yes","Male",9
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",3
"pigs","Watery Diarrhea dispropotion","Sick","Corneal Ulceration","Loss of appetite","Death","Yes","Female",4
"buffaloes","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Female",20
"duck","Poor coat apperence ","Diarrhea","Vomiting","Weight loss","Dehydration","Yes","Female",1
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",6
"pigs","haemorrhage","Straw colored","Abdominal pain","Death","Carcass decomposes","Yes","Female",11
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",11
"donkey","sweating","muscular spasms","thirst","Weight loss","difficulty moving and eating","Yes","Male",1
"pigs","Wool is clumped","Feels stiff","Staggering","Skin Rashes","Pains","Yes","Male",2
"buffaloes","Gastritis","morbidity","Bloody","Mortality","Anemia","Yes","Female",14
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",6
"buffaloes","Fever","Death","Coughing","Weight loss","Nasal Discharge","Yes","Male",20
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",1
"pigs","Fever","Swelling","loss of appetite","Anorexia","Weight Loss","Yes","Female",7
"buffaloes","Strong cough","Runny nose","Darkened skin","Lethargy","Loss of appettite","Yes","Female",9
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",3
"chicken","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Female",2
"sheep","Fever","Diarrhea","Depression","Scratches","Weight Loss","Yes","Male",10
"duck","Loss of eat","Fell unwell","Lethargy","Weight loss","Skin issue","Yes","Male",2
"buffaloes","Legness","Paresis","Coughing","Weight loss","Shortness of breath","Yes","Male",28
"cattle","Fever","Depression","Relunctance to move","Salivation","Nasal Discharge","Yes","Male",10
"sheep","Fever","Swelling","Bloody","Death","Anemia","Yes","Male",3
"buffaloes","SkinAllergy","Reduce growth","Wound","Head ache","Dizziness","Yes","Male",2
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",8
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",18
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",10
"sheep","Swollen","Warm","Constipation","Depression","Bloody","Yes","Female",6
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",16
"horse","Small red bumps","Pneumonia ","Septic Arthritis","Skin infection","Pain","Yes","Female",20
"duck","Bloody Urine","Diffculty breathing","Vomiting","Weight loss","Anorexia","Yes","Female",11
"donkey","outstretched neck","dull ness","inappetence","noisy breathing","coughing","Yes","Female",12
"sheep","Fever","Loss of appetite","Lameness","Rump","Weight Loss","Yes","Male",5
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",21
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",8
"sheep","Fever","Swelling","Bloody","Death","Anemia","Yes","Male",7
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",19
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",22
"sheep","Hyperexcitability","Muscular Spasms","Gums","Death","Pains","Yes","Male",8
"sheep","Fever","Lethargy","Blindness","Inappentence","Increased in breathing","Yes","Male",5
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",5
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",26
"chicken","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Female",7
"cattle","Fever","Dull","Hind quarted soil","Animal stop feed","Decrease in milk production","Yes","Male",3
"buffaloes","Skin infection","Secondary Infection","Coughing","Depression","Shaking oh head","Yes","Female",7
"duck","Loss of eat","Difficulty in breathing","Swelling ","Lameness","Neurologic abnormalities","Yes","Female",8
"donkey","loss of appetite","high body temperaure","lack of appetite","diarrhea","sudden death","Yes","Female",21
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",9
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",11
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",3
"cattle","Fever","Pneumonia ","Stand with head droping","Weight loss","Abnormal behaviour","Yes","Male",2
"buffaloes","Liquid Dropping","Exhaustion","Ataxia","Lethargy","Seizures","Yes","Male",24
"buffaloes","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",7
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",6
"buffaloes","Watery Eyes","Eye closed","Weight loss","Sneezing","Nervous Issue","Yes","Male",5
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",16
"buffaloes","Undigested in their feces","Loss of Appetite","Loss of pigment","Weakness","Bloody in feather","Yes","Male",22
"fowl","Facial edema","Loss of earing","Vomiting","Head ache","Throat and Ear pain","Yes","Female",1
"rabbit","Red on affected area","Horny growth","Wart-like growth","Red skin","Lesions on ear","Yes","Female",11
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",3
"hamster","Fever","Chills","Severe colic","Weakness","Anorexia","Yes","Male",1
"chicken","Bony Lesion","Skin Rashes","Ataxia","Anorexia","Weakness","Yes","Male",2
"cattle","Normal appetite","Diarrhea","Swelling may occur under jaw","Weight loss","Drop in milk production","Yes","Female",6
"goat","sudden death","high temperature","difficulty breating","Staggering","trembling","Yes","Male",7
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",2
"cattle","Fever","Ulcer on gum","Red eye","Yellowish Discharge","Bloody Diarrhea","Yes","Female",16
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",16
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",7
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",1
"hamster","Smell","Diarrhea","loss of appetite","Excess sleeping","Folded Ears","Yes","Female",2
"buffaloes","Emaciation","Diarrhea","Kid moratality","Weakness","Anemia","Yes","Male",1
"donkey","Nosebleed ","Trauma","mild weakness","Nose picking","Dry air","Yes","Male",12
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",20
"cow","loss in weight","emaciation","loss of appetite","Weakness","diarrhoea","Yes","Male",4
"duck","Fever","Difficulty breathing","Thrist and urination","Weight loss","Enlarged lymph nodes or Swelling","Yes","Female",6
"cattle","Fever","Distress","Trembling","Staggering","Convulsion","Yes","Male",8
"duck","Swollen lymph nodes","Difficulty walking","Back Pain","Lethargy","Vaginal Discharge","Yes","Female",5
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",11
"donkey","Fetopelvic dispropotion","Uteria inertia","Malpresentation","Death","Pains","Yes","Male",22
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",19
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",2
"duck","Fever","Diarrhea","Poor Appetite","Weight loss","Vomitting","Yes","Male",1
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",6
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",16
"sheep","Fever","Tiredness","loss of appetite","Muscle aches","Chest Pain","Yes","Male",8
"sheep","Restlessness","Kick","Lethargy","Nible at their wool","Scratching","Yes","Female",7
"pigs","Inability to digest","Diarrhea","Dehydration","Weight loss","Anemia","Yes","Female",7
"hamster","Poor condition","Enlarged lymph nodes","Diarrhea","Weight loss","Pain","Yes","Female",1
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",19
"pigs","Swelling","Discomfort","Difficulty in rising","Death","Pains","Yes","Female",9
"cattle","Fever","Ulcer on gum","Red eye","Yellowish Discharge","Bloody Diarrhea","Yes","Female",16
"cattle","Fever","Slightly Swollen","Lession on the skin","Milky Hard","Papules appear on teats anad udder","Yes","Male",14
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",22
"buffaloes","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",10
"sheep","Listless","Difficulty in walking","Grinding of teeth","Blindness","Ataxia","Yes","Male",6
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",13
"pigs","Fever","Loss of appetite","Stumbling","Restlessness","Pains","Yes","Female",14
"goat","Swelling of udder","change in milk","Swollen","Tender to touch","Pain","Yes","Male",12
"pigs","Fever","Diarrhea","Clearly unthrifty","Weight loss","Good appetite","Yes","Female",13
"pigs","Fever","Diarrhea","Muscus","Weight loss","Death","Yes","Female",6
"rabbit","Rhinitis","Pneumonia ","abscessess","Torticollis","Septicemia","Yes","Male",1
"buffaloes","Dejection","Loss of Appetite","Stress","Coughing","Pains","Yes","Female",11
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",15
"pigs","Decreased eyelid","Very cold skin","Lethargy","Lip","Fever","Yes","Female",8
"duck","Fever","Eye ulcer","Congestion","Depression","Pink eye","Yes","Male",3
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",21
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",23
"sheep","Fever","Diarrhea","Bloody droping","Abdominal discomfort","Lethargy","Yes","Female",8
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",16
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",2
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",21
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",26
"fowl","Fever","Lack of coordination","Depression","Salivation","Facial paralysis","Yes","Female",7
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",1
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",7
"chicken","loss of appetite","diarrhea","ruffled feathers","Weight loss","Inability to absorb nutrients","Yes","Male",6
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",1
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",17
"buffaloes","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",6
"buffaloes","Dyspnea","Sneezing","Coughing","Difficulty in breathing","Pain","Yes","Female",2
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",9
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",11
"sheep","Fever","Excession Salivation","Abnormal conformation","Ulcerated muscle","Ulcerated ear","Yes","Male",5
"buffaloes","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",26
"goat","Fever","Diarrhea","Vomiting","Stomach cramps","Nausea","Yes","Male",4
"donkey","nausea","vomiting","loss of appetite","experiencing changes in weight"," pain and bloating","Yes","Female",33
"cattle","Fever","Dull","Hind quarted soil","Animal stop feed","Decrease in milk production","Yes","Male",23
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",25
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",4
"goat","Fever","Lack of coordination","Depression","Salivation","Facial paralysis","Yes","Male",8
"donkey","outstretched neck","dull ness","inappetence","noisy breathing","coughing","Yes","Female",34
"duck","Shaking head","Scartching ear","Black on ear","Bad smell","Red and inflammation ear","Yes","Female",11
"sheep","Swollen","Hot joints","Pustulses","Difficulty in Walk","Pains","Yes","Male",3
"chicken","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Female",5
"donkey","cough","sneeze","droopy wings","twisted neck","droopy wings","Yes","Female",20
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",1
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",11
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",9
"hamster","Fever","Body stiffness","Lethargy","Severe inflammation","Pain","Yes","Male",1
"chicken","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",7
"duck","Greenish-yellow nasal discharge","Lack of pigmentation","Sneezing","Lethargy","Pain on face","Yes","Female",9
"sheep","Cell Damage","Behaviour change","Weight loss","Pruritis","Death","Yes","Female",1
"buffaloes","Restlessness","Weakness","Blue straws","Death","Pain","Yes","Female",26
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",9
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",7
"buffaloes","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Female",4
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",9
"fowl","paresis","paralysis","Weakness","Stomach cramps","Diarrhea","Yes","Male",1
"sheep","Decreased growth of bone","Depression","Grunting","Lameness","Weight loss","Yes","Male",4
"duck","Allergic Reaction","Poor appetite","Coughing","Weight loss","Distended chest","Yes","Male",3
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",15
"donkey","fever","mild colic","loss of tail tone","loss of appetite","depression","Yes","Female",1
"horse","Fever","Body stiffness","Lethargy","Severe inflammation","Pain","Yes","Female",21
"sheep","eye discharges","nasal discharge","change their normal behaviour","high body temperature","lameness","Yes","Male",11
"pigs","Cell Damage","Behaviour change","Weight loss","Pruritis","Death","Yes","Female",7
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",28
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",14
"sheep","Fever","Loss of Appetite","Scartches","Death","Pains","Yes","Male",4
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",11
"chicken","Feather Loss","Feather Plucking","Coughing","Itching","Nasal Discharge","Yes","Female",8
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",2
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",21
"fowl","Emaciation","Edema in lower jaw","Coughing","Shivering","Anemia","Yes","Female",3
"cattle","Fever","Depression","Relunctance to move","Salivation","Nasal Discharge","Yes","Male",20
"pigs","Red skin","Loss of appetite","Moist","Lameness","Pains","Yes","Female",3
"buffaloes","Discharge ","Sudden Abortion","Hemoglobinuria","Death of lamb","Weight Loss","Yes","Female",13
"sheep","lllthrift","Skin Lesion","Lameness","Swelling on theBody","Weight loss","Yes","Male",1
"duck","loss of appetite","high body temperaure","lack of appetite","diarrhea","sudden death","Yes","Male",11
"buffaloes","Stripped remiges","Less Feather growth","Ruffled feathers","Defienciency in vitamin","Diarrhea","Yes","Female",1
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",16
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",21
"pigs","Fever","Tachypea","Swelling of head and neck","Anorexia","Nasal Discharge","Yes","Male",13
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",9
"sheep","Pyrexia","Oral lesion","Swelling","Lameness","Death","Yes","Male",11
"sheep","Discomfort","Loss of Appetite","Bloody Diarrhea","Profuse","Pains","Yes","Female",7
"buffaloes","Bony Lesion","Skin Rashes","Ataxia","Anorexia","Weakness","Yes","Male",1
"buffaloes","Fever","Diarrhea","Sneezing","Stiffness","Severe weekness and depression","Yes","Male",2
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",1
"pigs","Unsteady Gait","Twitching","Blindness","Swelling on joints","Pains","Yes","Female",12
"duck","Greenish-yellow nasal discharge","Lack of pigmentation","Sneezing","Lethargy","Pain on face","Yes","Female",1
"pigs","Wandering","Circling","Blindness","Head Pressing","Recumbency","Yes","Male",14
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",1
"pigs","Jaundice","Loss of appetite","Rough Hair coat","Coughing","Death","Yes","Female",9
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",5
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",9
"hamster","Fever","Ulcer on gum","Red eye","Yellowish Discharge","Bloody Diarrhea","Yes","Female",2
"rabbit","Fever","Diarrhea","Enteritis","Weight loss","Stomach  cramps","Yes","Male",11
"buffaloes","Fever","Chronic eye inflamation","Coughing","Lethargy","Neurologic abnormalities","Yes","Male",9
"duck","Loss of eat","Difficulty in breathing","Swelling ","Lameness","Neurologic abnormalities","Yes","Female",9
"pigs","lllthrift","Skin Lesion","Lameness","Swelling on theBody","Weight loss","Yes","Male",14
"chicken","Scabs On feet","Redness ","Trachea","Thickening of skin","Pains","Yes","Male",1
"sheep","Groosly enlarged","Skin may thicken","Convulsion","Edematous","Pains","Yes","Female",5
"fowl","extending its neck","gasping for air","gasping for breath","difficulty swallowing","gasping for breath","Yes","Female",7
"buffaloes","Scabs On feet","Redness ","Trachea","Thickening of skin","Pains","Yes","Male",24
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",1
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",1
"sheep","Bluish white opacity","Aversion to light","Tear produce","Blindness","weakness","Yes","Female",9
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",8
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",4
"sheep","Bloody Diarhhea","Depression","Dullness","Death","Weakness","Yes","Male",1
"sheep","Fever","Lack of coordination","Painfull to touch","Circling","Depression","Yes","Male",8
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",1
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",1
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",1
"hamster","Fever","Ulcer on gum","Red eye","Yellowish Discharge","Bloody Diarrhea","Yes","Female",2
"cattle","Fever","Depression","Attack","Bite other animals","Pain","Yes","Male",17
"duck","Fever","Chronic eye inflamation","Poor Appetite","Lethargy","Neurologic abnormalities","Yes","Female",4
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",4
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",6
"duck","Upset stomach","Diarrhea","Coughing","Weight loss","Anaemia","Yes","Male",9
"buffaloes","Swelling","Lameness","Hyperaestesia","Hock joint","Weight loss","Yes","Male",3
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",17
"rabbit","Most often none","Sneezing","Nasal Discharge","Dyspnea","Pain","Yes","Male",7
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",27
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",1
"fowl","Thick Crusting","Itchiness","Hair loss","Watery eye","Pain","Yes","Female",9
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",14
"buffaloes","Emaciation","Difficulty in breathing","Vomiting","Weakness","Diarrhea","Yes","Male",10
"duck","Short term lethargy","Loss of  appetite","Weekness in the back legs","Rapid Heart Rate","Week pulse","Yes","Female",4
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",29
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",11
"chicken","Enlarged Thymus","Obstructed Lungs","Lethargy","Skin rashes","Weight loss","Yes","Male",5
"chicken","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",4
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",11
"pigs","Severe kerititis","Conjunctive","Discharge","Iris prolapse","Loss of eye","Yes","Male",4
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",9
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",8
"buffaloes","Heavy Breathing","Yellow in beak","Tail_Bobbing","Weakness","Sleeping Excessively","Yes","Male",3
"buffaloes","Fever","Rhinorrhea","Coughing","Sneezing","Dehydration","Yes","Female",6
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",6
"pigs","Fever","Swelling","loss of appetite","Anorexia","Weight Loss","Yes","Female",8
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",3
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",7
"fowl","Swelling of udder","change in milk","Swollen","Tender to touch","Pain","Yes","Female",1
"sheep","Isolation from flock","Stealing ","Nesting behaviour","Pawing at bedding","Pains","Yes","Female",7
"duck","Allergic Reaction","Poor appetite","Coughing","Weight loss","Distended chest","Yes","Male",9
